model,image_idx,VoL,TEN,HFE,MLSD,FCON
VAE,0,0.03985125944018364,0.5429047346115112,0.38631922006607056,0.1169852763414383,4.6922123015873005
VAE,1,0.01803978905081749,0.24613618850708008,0.37910619378089905,0.0735287293791771,1.5302579365079363
VAE,2,0.017721027135849,0.25267618894577026,0.3581903576850891,0.07132434844970703,1.2189980158730158
VAE,3,0.01534181647002697,0.18931864202022552,0.3550715148448944,0.06420442461967468,1.233630952380952
VAE,4,0.01092233881354332,0.1508166342973709,0.37952667474746704,0.06073452904820442,1.2953869047619047
VAE,5,0.0182214193046093,0.22790324687957764,0.37807607650756836,0.07391063868999481,1.5850694444444442
VAE,6,0.004862422589212656,0.0726713091135025,0.43036314845085144,0.04784952849149704,2.3623511904761902
VAE,7,0.009660634212195873,0.1206558495759964,0.3970871567726135,0.06145244836807251,1.603422619047619
VAE,8,0.01025738287717104,0.12388070672750473,0.3808213472366333,0.062490418553352356,1.8244047619047619
VAE,9,0.011335506103932858,0.17934097349643707,0.35721999406814575,0.07497715204954147,3.2656249999999996
VAE,10,0.019589953124523163,0.2654520273208618,0.3542879819869995,0.07331512123346329,1.4060019841269842
VAE,11,0.012629210948944092,0.16435351967811584,0.39726001024246216,0.06319711357355118,1.478918650793651
VAE,12,0.009267009794712067,0.10813581943511963,0.38292384147644043,0.06163191795349121,2.1448412698412698
VAE,13,0.013139160349965096,0.1539878249168396,0.46191951632499695,0.06916166096925735,2.2328869047619047
VAE,14,0.03318151459097862,0.46994802355766296,0.3095618486404419,0.09445442259311676,2.1210317460317456
VAE,15,0.01902092434465885,0.2667883038520813,0.4314105212688446,0.0735599622130394,1.681547619047619
VAE,16,0.02106603980064392,0.27582693099975586,0.41209137439727783,0.09007337689399719,4.563740079365079
VAE,17,0.002753648441284895,0.032062605023384094,0.3667449355125427,0.045188307762145996,1.2961309523809523
VAE,18,0.010806523263454437,0.1248677521944046,0.4280189573764801,0.06802985072135925,3.275297619047619
VAE,19,0.025400474667549133,0.35127192735671997,0.387971967458725,0.07761284708976746,1.2740575396825398
VAE,20,0.014053608290851116,0.1726498305797577,0.3643644452095032,0.06241670250892639,1.2214781746031744
VAE,21,0.004659122321754694,0.05931951850652695,0.39340412616729736,0.04667799919843674,1.1879960317460319
VAE,22,0.012896344996988773,0.16652461886405945,0.41805651783943176,0.06235930323600769,1.5193452380952381
VAE,23,0.01851244643330574,0.2435973882675171,0.42599180340766907,0.07755716890096664,1.919890873015873
VAE,24,0.007380219642072916,0.092730313539505,0.4049142599105835,0.05117928236722946,1.136656746031746
GAN,0,0.014017069712281227,0.15082183480262756,0.6711428165435791,0.07671230286359787,10.520089285714285
GAN,1,0.030529536306858063,0.31341463327407837,0.626854658126831,0.12020251154899597,21.007440476190474
GAN,2,0.04260725900530815,0.5168473720550537,0.5597336888313293,0.140464186668396,20.16344246031746
GAN,3,0.027729660272598267,0.31405767798423767,0.5793561935424805,0.10800325125455856,10.665178571428571
GAN,4,0.0254012793302536,0.2727845311164856,0.583675742149353,0.10768801718950272,13.966021825396826
GAN,5,0.026382524520158768,0.35326194763183594,0.6272056698799133,0.10551011562347412,26.721974206349202
GAN,6,0.04156326502561569,0.5203304886817932,0.6016517877578735,0.1515747308731079,26.77876984126984
GAN,7,0.058369025588035583,0.7822083234786987,0.5775054097175598,0.1628568470478058,46.13988095238095
GAN,8,0.04694964736700058,0.5006815791130066,0.5877040028572083,0.13228148221969604,24.43799603174603
GAN,9,0.05380510166287422,0.5433080196380615,0.6213576793670654,0.15488174557685852,41.27480158730158
GAN,10,0.025750968605279922,0.3029022216796875,0.5875199437141418,0.10023319721221924,13.517857142857142
GAN,11,0.02391808107495308,0.2742217183113098,0.6166136264801025,0.10007394850254059,8.108382936507937
GAN,12,0.06812587380409241,0.6381161212921143,0.6243801712989807,0.15008363127708435,28.71031746031746
GAN,13,0.0379880890250206,0.3720475435256958,0.6051159501075745,0.12018775939941406,18.90972222222222
GAN,14,0.031079750508069992,0.22099870443344116,0.621338427066803,0.09623315185308456,25.755704365079364
GAN,15,0.043744560331106186,0.4403967261314392,0.629275381565094,0.13830117881298065,29.411706349206348
GAN,16,0.03425544872879982,0.2990071177482605,0.63446444272995,0.10827530920505524,21.36284722222222
GAN,17,0.06518374383449554,0.6624139547348022,0.6253906488418579,0.15866583585739136,32.40178571428571
GAN,18,0.04777490347623825,0.477969229221344,0.5879889726638794,0.13523009419441223,22.47941468253968
GAN,19,0.05291008949279785,0.6648375988006592,0.5571812391281128,0.14156165719032288,18.68253968253968
GAN,20,0.015515117906033993,0.1698506474494934,0.6495320200920105,0.07475219666957855,15.823412698412696
GAN,21,0.029888663440942764,0.4360012412071228,0.5649129748344421,0.12692369520664215,24.580109126984127
GAN,22,0.028803937137126923,0.27545279264450073,0.6161736845970154,0.1105751320719719,16.778769841269842
GAN,23,0.03142128884792328,0.33670368790626526,0.6212654113769531,0.12417879700660706,24.53125
GAN,24,0.04671555384993553,0.6865113973617554,0.5535017848014832,0.15220363438129425,30.034474206349206
DIFFUSION,0,0.03535476699471474,0.4030276834964752,0.5899507999420166,0.1071978434920311,11.336309523809524
DIFFUSION,1,0.06558540463447571,0.7628177404403687,0.6335488557815552,0.1429985612630844,27.362599206349206
DIFFUSION,2,0.044167496263980865,0.5355757474899292,0.5516501665115356,0.10573005676269531,7.155257936507936
DIFFUSION,3,0.043878354132175446,0.438421368598938,0.651496946811676,0.1263367235660553,21.110119047619044
DIFFUSION,4,0.019527971744537354,0.26571038365364075,0.5057622790336609,0.056118760257959366,1.1780753968253965
DIFFUSION,5,0.020248759537935257,0.16763803362846375,0.6828805208206177,0.08061017841100693,13.844990079365077
DIFFUSION,6,0.0545121431350708,0.7364652156829834,0.49111396074295044,0.1147305890917778,7.089533730158729
DIFFUSION,7,0.03468292951583862,0.3515922427177429,0.633665919303894,0.11501525342464447,19.82142857142857
DIFFUSION,8,0.041352469474077225,0.4169604480266571,0.6290461421012878,0.11185552179813385,16.777281746031747
DIFFUSION,9,0.02944590151309967,0.3696223795413971,0.528178870677948,0.09392797946929932,5.238343253968253
DIFFUSION,10,0.051567431539297104,0.6188716888427734,0.5877400636672974,0.13494588434696198,17.309771825396822
DIFFUSION,11,0.047164201736450195,0.6390998363494873,0.43829089403152466,0.090885691344738,1.819940476190476
DIFFUSION,12,0.0559459812939167,0.7513910531997681,0.44544970989227295,0.10716994106769562,3.2904265873015874
DIFFUSION,13,0.00585592957213521,0.07579054683446884,0.5948246717453003,0.03431411460042,1.1520337301587302
DIFFUSION,14,0.021607670933008194,0.2513582110404968,0.6087719798088074,0.08144201338291168,8.280505952380953
DIFFUSION,15,0.041813481599092484,0.5287164449691772,0.5057055950164795,0.09348244220018387,4.292162698412699
DIFFUSION,16,0.049879949539899826,0.6865078210830688,0.5243499875068665,0.1068013608455658,4.6750992063492065
DIFFUSION,17,0.02172067202627659,0.2523118853569031,0.610314130783081,0.08917146176099777,10.278025793650794
DIFFUSION,18,0.0231613889336586,0.22354620695114136,0.6223044395446777,0.09299659729003906,10.1922123015873
DIFFUSION,19,0.01738511584699154,0.21157905459403992,0.5927863717079163,0.08010711520910263,9.400049603174601
DIFFUSION,20,0.0605347640812397,0.9254642724990845,0.0,0.07789550721645355,0.0
DIFFUSION,21,0.03489735722541809,0.4170021712779999,0.4282984137535095,0.08354182541370392,2.8053075396825395
DIFFUSION,22,0.0605347640812397,0.9254642724990845,0.0,0.07789550721645355,0.0
DIFFUSION,23,0.05109714716672897,0.6459508538246155,0.41273701190948486,0.09912662953138351,3.3053075396825395
DIFFUSION,24,0.05299144238233566,0.7724623680114746,0.44255101680755615,0.09056869149208069,1.7805059523809523
